i,W2-W1,W3-W2,W4-W3
90.0,1.2427023903437642,5.054153142217982,5.054153142217982
88.83061719438595,1.2334932025863734,5.032805667998818,5.032805667998818
87.66074692582784,1.227701665872243,5.017048488066459,5.017048488066459
86.48989989951457,1.2220564522273276,5.001975462597258,5.001975462597258
85.31758313773037,1.215797402346891,4.986808597168542,4.986808597168542
84.14329809008171,1.2097066904766014,4.970353093336568,4.970353093336568
82.96653868462111,1.2070802047242246,4.958656578228092,4.958656578228092
81.78678929826181,1.20641273880988,4.949470984367185,4.949470984367185
80.60352262316077,1.2057914845505173,4.940781764863175,4.940781764863175
79.4161974034895,1.2052670439845827,4.933100267104379,4.933100267104379
78.22425601413336,1.201933031441353,4.92090960217291,4.92090960217291
77.02712184924935,1.1937591141051838,4.899317697008553,4.899317697008553
75.824196484133,1.184070828615849,4.868184813162831,4.868184813162831
74.6148565683129,1.1746934951033943,4.833190484465151,4.833190484465151
73.39845040097977,1.1632473212485712,4.796007037146951,4.796007037146951
72.17429413146252,1.1496040472935167,4.754382137295429,4.754382137295429
70.94166751710716,1.1321969216172971,4.712559224874656,4.712559224874656
69.69980915809296,1.1177383359208317,4.67238434429582,4.67238434429582
68.44791111278685,1.1042010146540324,4.630764131926869,4.630764131926869
67.18511277733761,1.088788142935041,4.570684369525269,4.570684369525269
65.91049388821942,1.0725847213484738,4.505511347569956,4.505511347569956
64.6230664748477,1.0587855328809515,4.4396371298126605,4.4396371298126605
63.32176554919041,1.053233663644426,4.379041923902045,4.379041923902045
62.005438267747984,1.0476045698682452,4.317890139974438,4.317890139974438
60.67283123462236,1.0436288942445764,4.269426092061016,4.269426092061016
59.32257552744351,1.0367131753767402,4.226441596470759,4.226441596470759
57.95316891338891,1.0300494548168746,4.1866453335106835,4.1866453335106835
56.562954570084585,1.0241642174470538,4.14211409723693,4.14211409723693
55.15009542095352,1.0195408274776603,4.094379143768284,4.094379143768284
53.7125429148901,1.0183376739459693,4.04937193895263,4.04937193895263
52.24799869382702,1.016570447359147,4.003078870277461,4.003078870277461
50.753867050304606,1.0154788778296475,3.956066036283012,3.956066036283012
49.22719530595714,1.0210938456144496,3.9232928958988946,3.9232928958988946
47.66459812379962,1.022619964706508,3.8977402792768876,3.8977402792768876
46.062160114260266,1.018903853634713,3.8789510805851495,3.8789510805851495
44.41530859719298,1.0148674648566456,3.860510157983426,3.860510157983426
42.71864451437718,1.0124032190517442,3.8439138561090354,3.8439138561090354
40.96571333001423,1.0145617434152818,3.833380963711579,3.833380963711579
39.148687642253286,1.0167990760071715,3.8224796211192165,3.8224796211192165
37.25791600131241,1.0191274200833202,3.8111531995507186,3.8111531995507186
35.28126182726604,1.0235613800687728,3.8029393964962575,3.8029393964962575
33.203099198040476,1.030857880010069,3.814866068761542,3.814866068761542
31.002719133873992,1.0449611289094753,3.838790829631747,3.838790829631747
28.651659028014308,1.0592150859937668,3.865856681269732,3.865856681269732
26.108905677618836,1.0794889339185387,3.903829795318004,3.903829795318004
23.3114456815102,1.1042477779096413,3.9489795124061815,3.9489795124061815
20.153074257108308,1.1218207217718137,3.977602221995337,3.977602221995337
16.426421403476386,1.1378274697468815,4.008475768526642,4.008475768526642
11.595272659061264,1.157100055943833,4.042447636104241,4.042447636104241
0.0,1.1856347790771915,4.078788081667212,4.078788081667212
